id,comment
Ugwvcl1itI1gBgFyfnx4AaABAg,"WOW! Very cool, much heart pumping thrill! I love it! ❤
BUT IT'S SO SHOOORT, BAE !!?? After your previous 8 minute adventures this cover was over in a wink... not that I'm complaining x)"
UgyQpzWR5NLXKCmAWLt4AaABAg,Damn good vocals Bae.
UgyXbPi12fKqUXfeQ_B4AaABAg,BANGER AS ALWAYS QUEEN
UgyBOD25JBmzt0DdaFF4AaABAg,goose bumps
Ugz9OPvsSwici5pfQZ54AaABAg,first time hearing Bae sing and wow just wow I'm left in awe absolutely amazing.someone please link me this to spotify and not the original version but Bae's version
UgzN1O2NtY0hrsqMMFt4AaABAg,DANG BAEEE 🔥🔥🔥💯💯💯
UgzCz1FpR4-wguh-KU14AaABAg,YES I LOVE BAE'S SONGS
UgwK_9D9ewskhsOVuAp4AaABAg,The only bad thing about this is it is so short...like the bae 😏
UgxigyWH6WllqFM4YSp4AaABAg,"Am I strange, if I say ""please, step on me?"" Cause this is what I am getting with this vibe 👀"
Ugw-9l3d85HCCznhlIt4AaABAg,im addicted to this
Ugyw8Xb3eCRn_W9POON4AaABAg,"This one slaps, but bakedeath just nailed it, check her out"
Ugyw8Xb3eCRn_W9POON4AaABAg.9hWidCWA7jb9hX0qBPP2I3,"@Banana Bunch! Can't wish for better explanation. You already know that i prefer bake's version, but i easily can be biased just like you, because i'm not an often visitor of Bae's channel"
Ugyw8Xb3eCRn_W9POON4AaABAg.9hWidCWA7jb9hWqZ3plOLj,"Never heard of bakedeath before but I went ahead and watched it and at first I was put off by her tone of voice because I thought it didn't match the song but then she started fluctuating her voice, and that's when I started liking it. 

On top of that, when the small growls came in, it was over for me from there. Head bops needed to be delivered pronto. She also incorperated a lot of the noisiness from the original song which was definitely well-edited and added more creepiness to the cover in contrast to Bae's cleaner version where pure vocals were the main focus of the cover.

I still prefer Bae's version but that's purely based on bias because I liked Bae's stylistic choice of adding the breathiness and vocal frys to her singing(which makes her sound like a zombie) but in terms of quality, I think bakedeath got it in the bag, it sounded super professional."
Ugx7YJ_mXz68K4D2RtZ4AaABAg,Jammin
UgxpLc7vIetpKO_JAG14AaABAg,What a banger
UgxEQ5mJfX7TWQm-_lZ4AaABAg,deep voice bae tskr 🙏
UgxanQJF_yUZJmBM-nl4AaABAg,"That was horrifying, thank you"
UgyHZ8K5JK0vNAAhXct4AaABAg,urusai na te nandayo?!?
Ugza2gtl3YOj6YHMs594AaABAg,Love it 🔥
UgxOeWtsyEnrgtTZrxd4AaABAg,🔥🔥🔥🔥🔥🔥
UgxOeWtsyEnrgtTZrxd4AaABAg.9hWfM2jz1gc9hbMMuGgObY,Hi Ollie
UgxOeWtsyEnrgtTZrxd4AaABAg.9hWfM2jz1gc9hapVOm34Sj,Hello Ollie!
UgxOeWtsyEnrgtTZrxd4AaABAg.9hWfM2jz1gc9h_hf-MNXIx,Supportive zombie mom✨
UgxOeWtsyEnrgtTZrxd4AaABAg.9hWfM2jz1gc9h_C42FpkvT,"Hello OLLIE!
Can't believe there aren't many replies yet."
UgxOeWtsyEnrgtTZrxd4AaABAg.9hWfM2jz1gc9h_-wrIhhC3,"HELLO OLLIE, HOW'S YOU DOING ?"
Ugz6Y-yvg27sNXLhwQx4AaABAg,"good job ya, still not sure how a 5 year old rat sang this but that's chaos for you"
Ugw5PLojI1JZ5uk0l8N4AaABAg,"just go home and see this 
i was like : MY DARKSIDE IS AWAKENING😈😈😈"
Ugz5muqtlFECbVwrzqB4AaABAg,Once again the vocal range of this wonderful rat blows me away
UgzjBkADkJpAF4j6g_Z4AaABAg,Perfect wedding song!
Ugz_QtpuFlF9JqENhzZ4AaABAg,🤐🤐🤐O-Okay.... BUT I still want to thank you for always working hard to create new music contents really appreciate it 
UgyEHLHmVoexuZ3Akpx4AaABAg,*Baelz Hakos: Manifestation of Chaos Incarnate* 🔥♥️
UgxC5QXgV5XZlUOFFbV4AaABAg,"前々から分かってたけど日本語上手すぎる。
強弱のつけ方、息の入れ方が日本人のそれ
元気な曲もいける、こういうホラー系もいけるそういう役幅の広さもべーちゃんの魅力！"
Ugz-CQ-syj4QknP_Sk14AaABAg,"Amazing job on the cover, Bae!! Your vocal range is always so surprising "
UgzeUbn4A6mJ0oCXDbh4AaABAg,かっこいい！好き！！
UgyCtOJiAK27PPEwukB4AaABAg,This hits so hard~ I love deep voice Bae ❤
UgxhioP8cV1HYK9LQhR4AaABAg,I wonder if Bae was scared of the art. 🤣
UgzIe_XyR6SF3tC6uK54AaABAg,Man Bae. Knocked it outta the park again! ❤️ Great work to everyone involved! [Including the fans]
UgxfIpp93OMM1cndQYt4AaABAg,LETS GOOO
Ugw-ycfexLRYBsh8cR54AaABAg,AMAZING~!!
UgzzcR__KwfAVka7_RR4AaABAg,AMAZING 
UgzgDxkeXr9FO1HtOpB4AaABAg,今まではバラード系の歌ってみたが多かった中、カオス担当の牙を出してきた感じかっこいい！！べーちゃんのそういう二面好き！
Ugzm_T5q39wKuLWXvfJ4AaABAg,"I love the build up before the amazing drop plus I need a longer version, I'm sick of abusing the replay button"
Ugyk57saQrpneKINyYZ4AaABAg,"Alright , this fucks. "
UgxozMCu3Dx__M3mJsp4AaABAg,"Bae: ""Urusai na...""
Me: 🤐



(But man, what a banger!! She really popped off with this one!)"
UgzO_HohCMMsX45JssN4AaABAg,"Yet another absolute banger, as expected of Bae "
UgwQwMwGK8QeMFJtBr14AaABAg,I will never forgive you for Ubersreik Hakos Baelz!
UgyTyJ7Adm0g7vS8mWV4AaABAg,Chaos is in the house BRUHHHHHHHHHHH!!!
UgxFwvEx2sAvM3oIBKl4AaABAg,Perfect music for slaughtering zombies and for racing crazy fast in Redout 2
Ugz4fD_OPwcSDO8MvXF4AaABAg,Dang this is a banger. And that deep voice too
UgwgCgwDSmnv2x16DN14AaABAg,This slaps so hard it gave Chris Rock brain damage
UgySaHdJg8NOzE7bQBN4AaABAg,"Not strange, just beautiful chaos"
UgwO_D7PA_5EEX9ga5p4AaABAg,カッコよすぎる
UgzSYKsFLR0qYq5x4WB4AaABAg,
UgwC1CD7EN8eGEDhhsl4AaABAg,Sometimes you forget just how much range Bae has until she comes out and punches you in the face with it. It's impressive every time and I won't get tired of it.
Ugw7-RyG9v9oTs4efA14AaABAg,"Pardon me Doctor, something's strange with my Rat and it's scaring me. JK, but Bae's got some real lyrical talent with her JP rapping skill here! Also, deep voice Bae always gives the best Ara Ara vibes. 😁"
UgzU-UFdUM-mjr4MDG54AaABAg,This is SO sick
UgyA0iWEbUPJD6WBWSp4AaABAg,literally goosebumps
UgwA1XSUI8WohD8fmAN4AaABAg,The lock on Chaos is slowly falling off 👀👀👀.
UgxLcwVq87RJ5dDcGFF4AaABAg,Bae true form
UgxM8-VNSC9RMHlsr3t4AaABAg,選曲最高すぎ
UgzfZ23XmiInFHpISMt4AaABAg,That was the coolest and most disturbing thing I have seen come from her. Either way I love it. Once again bring out another side.
UgybRtL7lnuBQR2qX0Z4AaABAg,THIS IS BANGERR
UgycgpMoYBrjOb5juIB4AaABAg,this is such a banger imagine if she keeps doing songs with this vibe🔥 (cover gospel by wotaku pls😭)
Ugy_oQ-yyqnBjendttl4AaABAg,BAELZZ!! AHAHSV!!
Ugz74fstFDAGy4E7Zk14AaABAg,"Just got back from checking out the original, and upon a second listen here - gotta say - this song flat-out slaps. Having it pop up twice on my playlist is the only option now. Thanks for your hard work Bae!!!!"
Ugx0RaElIl_Ccz4d2sp4AaABAg,ngl that last urusai's were intimidating! Thanks for the banger cover bae
Ugwt1VTs5cSfKWobEfd4AaABAg,I love when Bae becomes rat rapper! The crazy laughing is wicked too! Also that picture :o)
Ugx7uct83n_eK30ZQHh4AaABAg,"Even if I don't like every song you cover, your voice is amazing in all of them! Incredible range!"
Ugw3PeQGV8xz3d2Xbpt4AaABAg,"This ain't a rat, this is a jackal"
Ugx_dJIkFYNZJL45MOJ4AaABAg,めっちゃかっこいい
Ugy6I91yqV9h60wiq0V4AaABAg,OMG! Amazing voice 
UgwfJQN77thgC1kOqJx4AaABAg,This was a banger! I really enjoyed your deeper voice in this track!
UgxJFNjeSoldEmwHK-N4AaABAg,"She can't keep doing this


She can't keep making me simp more"
UgyqfzqOsxwqpX3YJIZ4AaABAg,Dude.
Ugy8LB6pW07viLmw0o94AaABAg,I'm surprised this doesn't have more views; it's amazing and Bae killed it.
Ugxy4JRVlUbO-2ju6kB4AaABAg,Deep Voice Bae hits different.
UgwHa6FkscByj2h5yy14AaABAg,This slaps.
UgxXETYVvvAcG8XYLvV4AaABAg,"the voice is too perfect
definitely my new loop"
UgwfA3fA4bMCKFE3P9R4AaABAg,😨is this true from rat the chaos😨
UgxPx9hzD_B7r9FDeAN4AaABAg,"Woah! These vocals are so on point it’s scary! The mixing is so well done too, you’ve voice and the instrumentals are placed perfectly in balance — it sounds great! That art is perfect for Halloween too! What a great cover!!! ❤❤"
UgyMwcGdEeI76zytZG94AaABAg,omg
UgyiIsMY471fOFAFvNF4AaABAg,カッコよすぎ！
Ugzif-0LG10Q6tXEvzh4AaABAg,i get a ton of CORPSE vibes from this lol
UgyWWWODJD_Bp4eWzd14AaABAg,Bruh. Sick.
UgzLWrdQVKc_CZh9pB14AaABAg,This was awesome Bae👏👏🔥🔥🔥
Ugwfke_2wvt1gahlSN14AaABAg,Literal Chills with the hot and cool combine. Immaculate “cover”. This is perfect.
UgyaRG7bEkPKw0c1Jst4AaABAg,いい声……
